id,timestamp/date,value,unit
RF12345,01/10/2018,1.1,mm
RF12345,02/10/2018,1.8,mm
RF12345,03/10/2018,1.5,mm
RF12345,04/10/2018,0.6,mm
RF12345,05/10/2018,0,mm
RF12345,06/10/2018,0.4,mm
RF12345,07/10/2018,0,mm
RF12345,08/10/2018,0,mm
RF12345,09/10/2018,1.2,mm
RF12345,10/10/2018,1.7,mm
RF12345,11/10/2018,1.7,mm
RF12345,12/10/2018,0.7,mm
RF12345,13/10/2018,0,mm
RF12345,14/10/2018,0.5,mm
RF12345,15/10/2018,0,mm
RF12345,16/10/2018,0,mm
RF12345,17/10/2018,0,mm
RF12345,18/10/2018,0,mm
RF12345,19/10/2018,0,mm
RF12345,20/10/2018,0,mm
RF12345,21/10/2018,0,mm
RF12345,22/10/2018,0,mm
RF12345,23/10/2018,0,mm
RF12345,24/10/2018,0,mm
RF12345,25/10/2018,0,mm
RF12345,26/10/2018,0,mm
RF12345,27/10/2018,0,mm
RF12345,28/10/2018,0,mm
RF12345,29/10/2018,0,mm
RF12345,30/10/2018,15,mm
RF12345,31/10/2018,35,mm
RF12345,01/11/2018,6,mm
RF12345,02/11/2018,0,mm
RF12345,03/11/2018,0,mm
RF12345,04/11/2018,0,mm
RF12345,05/11/2018,0,mm
RF12345,06/11/2018,0,mm
RF12345,07/11/2018,0,mm
RF12345,08/11/2018,0,mm
RF12345,09/11/2018,0,mm
RF12345,10/11/2018,0,mm
RF12345,11/11/2018,0,mm
RF12345,12/11/2018,0,mm
RF12345,13/11/2018,0,mm
RF12345,14/11/2018,0,mm
RF12345,15/11/2018,0,mm
RF12345,16/11/2018,0,mm
RF12345,17/11/2018,0,mm
RF12345,18/11/2018,0,mm
RF12345,19/11/2018,0,mm
RF12345,20/11/2018,0,mm
RF12345,21/11/2018,0,mm
RF12345,22/11/2018,0,mm
RF12345,23/11/2018,0,mm
RF12345,24/11/2018,0,mm
RF12345,25/11/2018,0,mm
RF12345,26/11/2018,0,mm
RF12345,27/11/2018,0,mm
RF12345,28/11/2018,0,mm
RF12345,29/11/2018,0,mm
RF12345,30/11/2018,0,mm
RF12345,01/12/2018,0,mm
RF12345,02/12/2018,0,mm
RF12345,03/12/2018,0,mm
RF12345,04/12/2018,0,mm
RF12345,05/12/2018,0,mm
RF12345,06/12/2018,0,mm
RF12345,07/12/2018,0,mm
RF12345,08/12/2018,0,mm
RF12345,09/12/2018,0,mm
RF12345,10/12/2018,0,mm
RF12345,11/12/2018,0,mm
RF12345,12/12/2018,0,mm
RF12345,13/12/2018,0,mm
RF12345,14/12/2018,0,mm
RF12345,15/12/2018,0,mm
RF12345,16/12/2018,0,mm
RF12345,17/12/2018,0,mm
RF12345,18/12/2018,0,mm
RF12345,19/12/2018,0,mm
RF12345,20/12/2018,0,mm
RF12345,21/12/2018,0,mm
RF12345,22/12/2018,0,mm
RF12345,23/12/2018,0,mm
RF12345,24/12/2018,0,mm
RF12345,25/12/2018,0,mm
RF12345,26/12/2018,0,mm
RF12345,27/12/2018,0,mm
RF12345,28/12/2018,0,mm
RF12345,29/12/2018,0,mm
RF12345,30/12/2018,0,mm
RF12345,31/12/2018,0,mm
RF12345,01/01/2019,0,mm
RF12345,02/01/2019,0,mm
RF12345,03/01/2019,0,mm
RF12345,04/01/2019,0,mm
RF12345,05/01/2019,0,mm
RF12345,06/01/2019,0,mm
RF12345,07/01/2019,0,mm
RF12345,08/01/2019,0,mm
RF12345,09/01/2019,0,mm
RF12345,10/01/2019,0,mm
RF12345,11/01/2019,0,mm
RF12345,12/01/2019,0,mm
RF12345,13/01/2019,0,mm
RF12345,14/01/2019,0,mm
RF12345,15/01/2019,0,mm
RF12345,16/01/2019,0,mm
RF12345,17/01/2019,0,mm
RF12345,18/01/2019,0,mm
RF12345,19/01/2019,0,mm
RF12345,20/01/2019,0,mm
RF12345,21/01/2019,0,mm
RF12345,22/01/2019,0,mm
RF12345,23/01/2019,0,mm
RF12345,24/01/2019,0,mm
RF12345,25/01/2019,0,mm
RF12345,26/01/2019,0,mm
RF12345,27/01/2019,0,mm
RF12345,28/01/2019,0,mm
RF12345,29/01/2019,0,mm
RF12345,30/01/2019,0,mm
RF12345,31/01/2019,0,mm
RF12345,01/02/2019,0,mm
RF12345,02/02/2019,0,mm
RF12345,03/02/2019,0,mm
RF12345,04/02/2019,0,mm
RF12345,05/02/2019,0,mm
RF12345,06/02/2019,0,mm
RF12345,07/02/2019,0,mm
RF12345,08/02/2019,0,mm
RF12345,09/02/2019,0,mm
RF12345,10/02/2019,0,mm
RF12345,11/02/2019,0,mm
RF12345,12/02/2019,0,mm
RF12345,13/02/2019,0,mm
RF12345,14/02/2019,0,mm
RF12345,15/02/2019,0,mm
RF12345,16/02/2019,0,mm
RF12345,17/02/2019,0,mm
RF12345,18/02/2019,0,mm
RF12345,19/02/2019,0,mm
