id,timestamp/date,value,,,,,,
TT12346,2018-12-30T02:00:00+00:00,14.0,,,,,,
TT12346,2018-12-30T08:00:00+00:00,13.7,,,,,,
TT12346,2018-12-30T14:00:00+00:00,16.5,,,,,,
TT12346,2018-12-30T20:00:00+00:00,15.1,,,,,,
TT12346,2018-12-31T02:00:00+00:00,13.8,,,,,,
TT12346,2018-12-31T08:00:00+00:00,13.3,,,,,,
TT12346,2018-12-31T14:00:00+00:00,15.5,,,,,,
TT12346,2018-12-31T20:00:00+00:00,14.2,,,,,,
TT12346,2019-01-01T02:00:00+00:00,12.5,,,,,,
TT12346,2019-01-01T08:00:00+00:00,12.4,,,,,,
TT12346,2019-01-01T14:00:00+00:00,13.8,,,,,,
TT12346,2019-01-01T20:00:00+00:00,12.9,,,,,,
TT12346,2019-01-02T02:00:00+00:00,11.5,,,,,,
TT12346,2019-01-02T08:00:00+00:00,11.2,,,,,,
TT12346,2019-01-02T14:00:00+00:00,13.5,,,,,,
TT12346,2019-01-02T20:00:00+00:00,12.8,,,,,,
TT12346,2019-01-03T02:00:00+00:00,10.1,,,,,,
TT12346,2019-01-03T08:00:00+00:00,8.3,,,,,,
TT12346,2019-01-03T14:00:00+00:00,16.0,,,,,,
TT12346,2019-01-03T20:00:00+00:00,14.3,,,,,,
TT1236A,2018-12-30T02:00:00+00:00,14.4,,,,,,
TT1236A,2018-12-30T08:00:00+00:00,13.9,,,,,,
TT1236A,2018-12-30T14:00:00+00:00,16.4,,,,,,
TT1236A,2018-12-30T20:00:00+00:00,15.6,,,,,,
TT1236A,2018-12-31T02:00:00+00:00,14.2,,,,,,
TT1236A,2018-12-31T08:00:00+00:00,13.5,,,,,,
TT1236A,2018-12-31T14:00:00+00:00,15.4,,,,,,
TT1236A,2018-12-31T20:00:00+00:00,14.7,,,,,,
TT1236A,2019-01-01T02:00:00+00:00,12.9,,,,,,
TT1236A,2019-01-01T08:00:00+00:00,12.6,,,,,,
TT1236A,2019-01-01T14:00:00+00:00,13.7,,,,,,
TT1236A,2019-01-01T20:00:00+00:00,13.4,,,,,,
TT1236A,2019-01-02T02:00:00+00:00,11.9,,,,,,
TT1236A,2019-01-02T08:00:00+00:00,11.4,,,,,,
TT1236A,2019-01-02T14:00:00+00:00,13.4,,,,,,
TT1236A,2019-01-02T20:00:00+00:00,13.3,,,,,,
TT1236A,2019-01-03T02:00:00+00:00,10.5,,,,,,
TT1236A,2019-01-03T08:00:00+00:00,8.5,,,,,,
TT1236A,2019-01-03T14:00:00+00:00,15.9,,,,,,
TT1236A,2019-01-03T20:00:00+00:00,14.8,,,,,,
TT1236A,2019-01-04T02:00:00+00:00,10.1,,,,,,
TT1236A,2019-01-04T08:00:00+00:00,5.3,,,,,,
TT1236A,2019-01-04T14:00:00+00:00,13,,,,,,
TT1236A,2019-01-04T20:00:00+00:00,10.7,,,,,,
RF12334,2018-12-29,1.1,,,,,,
RF12334,2018-12-30,1.8,,,,,,
RF12334,2018-12-31,1.5,,,,,,
RF12334,2019-01-01,0.6,,,,,,
RF12334,2019-01-02,0,,,,,,
RF12334,2019-01-03,0.4,,,,,,
RF12334,2019-01-04,0,,,,,,
RF12334,2019-01-05,0,,,,,,
RF12345,2018-12-29,1.2,,,,,,
RF12345,2018-12-30,1.7,,,,,,
RF12345,2018-12-31,1.7,,,,,,
RF12345,2019-01-01,0.7,,,,,,
RF12345,2019-01-02,0,,,,,,
RF12345,2019-01-03,0.5,,,,,,
RF12345,2019-01-04,0,,,,,,
RF12345,2019-01-05,0,,,,,,
RF12345,2019-01-06,2.5,,,,,,
