SensorID,timestamp/date,Aux_Value,unit,id,value
TT12346,2018-01-01T04:00:00+00:00,5,C,,
TT12346,2018-01-01T08:00:00+00:00,4,C,,
TT12346,2018-01-01T14:00:00+00:00,10,C,,
TT12346,2018-01-01T22:00:00+00:00,8,C,,
TT12346,2018-01-02T04:00:00+00:00,3.2,C,,
TT12346,2018-01-02T08:00:00+00:00,4.56,C,,
TT12346,2018-01-02T14:00:00+00:00,10.34,C,,
TT12346,2018-01-02T22:00:00+00:00,6.8,C,,
TT12346,2018-01-03T04:00:00+00:00,3.2,C,,
TT12346,2018-01-03T08:00:00+00:00,2.54,C,,
TT12346,2018-01-03T14:00:00+00:00,8.36,C,,
TT12346,2018-01-03T22:00:00+00:00,8.22,C,,
TT12346,2018-01-04T04:00:00+00:00,3.98,C,,
TT12346,2018-01-04T08:00:00+00:00,2.7,C,,
TT12346,2018-01-04T14:00:00+00:00,8.98,C,,
TT12346,2018-01-04T22:00:00+00:00,8.36,C,,
TT12346,2018-01-05T04:00:00+00:00,3.26,C,,
TT12346,2018-01-05T08:00:00+00:00,4.22,C,,
TT12346,2018-01-05T14:00:00+00:00,8.28,C,,
TT12346,2018-01-05T22:00:00+00:00,8.82,C,,
TT12346,2018-01-06T04:00:00+00:00,5.96,C,,
TT12346,2018-01-06T08:00:00+00:00,2.06,C,,
TT12346,2018-01-06T14:00:00+00:00,10.92,C,,
TT12346,2018-01-06T22:00:00+00:00,8.42,C,,
TT12346,2018-01-07T04:00:00+00:00,5.86,C,,
TT12346,2018-01-07T08:00:00+00:00,4.84,C,,
TT12346,2018-01-07T14:00:00+00:00,10.28,C,,
TT12346,2018-01-07T22:00:00+00:00,6.92,C,,
TT12346,2018-01-08T04:00:00+00:00,5.96,C,,
TT12346,2018-01-08T08:00:00+00:00,4.8,C,,
TT12346,2018-01-08T14:00:00+00:00,10.24,C,,
TT12346,2018-01-08T22:00:00+00:00,8.9,C,,
TT12346,2018-01-09T04:00:00+00:00,5,C,,
TT12346,2018-01-09T08:00:00+00:00,4.3,C,,
TT12346,2018-01-09T14:00:00+00:00,10.84,C,,
TT12346,2018-01-09T22:00:00+00:00,8.46,C,,
TT12346,2018-01-10T04:00:00+00:00,5.94,C,,
TT12346,2018-01-10T08:00:00+00:00,2.48,C,,
TT12346,2018-01-10T14:00:00+00:00,8.4,C,,
TT12346,2018-01-10T22:00:00+00:00,8.34,C,,
TT12346,2018-01-11T04:00:00+00:00,3.32,C,,
TT12346,2018-01-11T08:00:00+00:00,4.94,C,,
TT12346,2018-01-11T14:00:00+00:00,8.68,C,,
TT12346,2018-01-11T22:00:00+00:00,8.28,C,,
TT12346,2018-01-12T04:00:00+00:00,3.6,C,,
TT12346,2018-01-12T08:00:00+00:00,4.86,C,,
TT12346,2018-01-12T14:00:00+00:00,8.62,C,,
TT12346,2018-01-12T22:00:00+00:00,6.86,C,,
TT12346,2018-01-13T04:00:00+00:00,5.66,C,,
TT12346,2018-01-13T08:00:00+00:00,2.78,C,,
TT12346,2018-01-13T14:00:00+00:00,8.22,C,,
TT12346,2018-01-13T22:00:00+00:00,6.48,C,,
TT12346,2018-01-14T04:00:00+00:00,5.72,C,,
TT12346,2018-01-14T08:00:00+00:00,4.5,C,,
TT12346,2018-01-14T14:00:00+00:00,10.68,C,,
TT12346,2018-01-14T22:00:00+00:00,6.08,C,,
TT12346,2018-01-15T04:00:00+00:00,2.52,C,,
TT12346,2018-01-15T08:00:00+00:00,3.48,C,,
TT12346,2018-01-15T14:00:00+00:00,7.74,C,,
TT12346,2018-01-15T22:00:00+00:00,4.18,C,,
TT12346,2018-01-16T04:00:00+00:00,4.48,C,,
TT12346,2018-01-16T08:00:00+00:00,1.04,C,,
TT12346,2018-01-16T14:00:00+00:00,5.68,C,,
TT12346,2018-01-16T22:00:00+00:00,6.92,C,,
TT12346,2018-01-17T04:00:00+00:00,2.82,C,,
TT12346,2018-01-17T08:00:00+00:00,1.4,C,,
TT12346,2018-01-17T14:00:00+00:00,7.1,C,,
TT12346,2018-01-17T22:00:00+00:00,6.56,C,,
TT12346,2018-01-18T04:00:00+00:00,4.1,C,,
TT12346,2018-01-18T08:00:00+00:00,3.26,C,,
TT12346,2018-01-18T14:00:00+00:00,5.82,C,,
TT12346,2018-01-18T22:00:00+00:00,6.9,C,,
TT12346,2018-01-19T04:00:00+00:00,4.7,C,,
TT12346,2018-01-19T08:00:00+00:00,1.98,C,,
TT12346,2018-01-19T14:00:00+00:00,5.26,C,,
TT12346,2018-01-19T22:00:00+00:00,4.52,C,,
TT12346,2018-01-20T04:00:00+00:00,5.7,C,,
TT12346,2018-01-20T08:00:00+00:00,2.32,C,,
TT12346,2018-01-20T14:00:00+00:00,8.26,C,,
TT12346,2018-01-20T22:00:00+00:00,6.02,C,,
TT12346,2018-01-21T04:00:00+00:00,3.38,C,,
TT12346,2018-01-21T08:00:00+00:00,2.38,C,,
TT12346,2018-01-21T14:00:00+00:00,10.32,C,,
TT12346,2018-01-21T22:00:00+00:00,8.14,C,,
TT12346,2018-01-22T04:00:00+00:00,5.52,C,,
TT12346,2018-01-22T08:00:00+00:00,4.16,C,,
TT12346,2018-01-22T14:00:00+00:00,8.92,C,,
TT12346,2018-01-22T22:00:00+00:00,8.12,C,,
TT12346,2018-01-23T04:00:00+00:00,5.02,C,,
TT12346,2018-01-23T08:00:00+00:00,4.96,C,,
TT12346,2018-01-23T14:00:00+00:00,8.3,C,,
